provider,n,returned,rate,ci_lo,ci_hi,thin
Council of Jewish Organization,19054,13732,0.721,0.714,0.727,False
Woodycrest Center For Human De,1005,705,0.701,0.672,0.729,False
El Barrio's Operation Fightbac,2034,1383,0.68,0.659,0.7,False
Infinity Educational Programs,4028,2703,0.671,0.656,0.685,False
Kips Bay,1210,790,0.653,0.626,0.679,False
Hellenic American Neighborhood,4835,3089,0.639,0.625,0.652,False
Simpson Street Development Ass,1948,1227,0.63,0.608,0.651,False
"Sesame Flyers International, I",855,538,0.629,0.596,0.661,False
Brooklyn Neighborhood Improvem,1841,1154,0.627,0.604,0.649,False
Research Foundation - Medgar E,1514,948,0.626,0.601,0.65,False
NY Center for Interper- NYCID,709,438,0.618,0.581,0.653,False
Catholic Charities Neighborhoo,2912,1780,0.611,0.593,0.629,False
Community Counseling & Mediati,2368,1440,0.608,0.588,0.628,False
Chinese American Planning Coun,6711,4004,0.597,0.585,0.608,False
Edith and Carl Marks Jewish Co,2122,1254,0.591,0.57,0.612,False
RiseBoro Community Partnership,1489,876,0.588,0.563,0.613,False
United Activities Unlimited,2387,1397,0.585,0.565,0.605,False
Center for Family Life,2372,1385,0.584,0.564,0.604,False
CAMBA,1265,735,0.581,0.554,0.608,False
CCCS,3042,1744,0.573,0.556,0.591,False
YM-YWHA,1667,954,0.572,0.548,0.596,False
St. Nicks Alliance Corporation,1598,911,0.57,0.546,0.594,False
Commonpoint,4854,2752,0.567,0.553,0.581,False
Roads,624,351,0.562,0.523,0.601,False
"Chinatown Manpower Project, In",2228,1250,0.561,0.54,0.582,False
Rockaway Development & Revital,1556,872,0.56,0.536,0.585,False
"Inwood Community Services, Inc",1879,1053,0.56,0.538,0.583,False
Research Foundation - LaGuardi,2827,1581,0.559,0.541,0.577,False
Aspira of New York,1718,958,0.558,0.534,0.581,False
Madison Square,464,259,0.558,0.513,0.603,False
"Henry Street Settlement, Inc.",2740,1522,0.555,0.537,0.574,False
Bridge Street,2640,1457,0.552,0.533,0.571,False
The Children's Aid Society,2025,1118,0.552,0.53,0.574,False
"Queens Community House, Inc.",1822,987,0.542,0.519,0.564,False
Community Association of Progr,2126,1150,0.541,0.52,0.562,False
"BronxWorks, Inc",1191,641,0.538,0.51,0.566,False
Mosholu Montefiore Community C,4065,2184,0.537,0.522,0.553,False
Cypress Hills Local Developmen,1643,883,0.537,0.513,0.561,False
Children's Arts & Science Work,1149,614,0.534,0.505,0.563,False
Police Athletic League,2265,1210,0.534,0.514,0.555,False
Greater Ridgewood Youth Counci,2806,1488,0.53,0.512,0.549,False
SOBRO,955,503,0.527,0.495,0.558,False
,15792,8321,0.527,0.519,0.535,False
Italian American Civil Rights,3868,2031,0.525,0.509,0.541,False
Phipps Neighborhoods,637,316,0.496,0.457,0.535,False
BCS,919,453,0.493,0.461,0.525,False
Boys & Girls Club Queens,658,324,0.492,0.454,0.531,False
