Index year,Worksite status,N,% of risk set,N returned,Return rate,ci_lo,ci_hi,thin
2022,active,23599,0.565,14123,0.598,0.592,0.605,False
2022,exited,10,0.0,6,0.6,0.313,0.832,True
2022,no_show,1202,0.029,367,0.305,0.28,0.332,False
2022,test,7,0.0,2,0.286,0.082,0.641,True
2022,unplaced,275,0.007,85,0.309,0.257,0.366,False
2022,,16664,0.399,8624,0.518,0.51,0.525,False
2023,active,39167,0.897,24487,0.625,0.62,0.63,False
2023,exited,2,0.0,2,1.0,0.342,1.0,True
2023,no_show,2816,0.065,973,0.346,0.328,0.363,False
2023,test,30,0.001,16,0.533,0.361,0.698,False
2023,unplaced,1023,0.023,325,0.318,0.29,0.347,False
2023,,614,0.014,201,0.327,0.291,0.365,False
2024,active,40707,0.904,26673,0.655,0.651,0.66,False
2024,no_show,2478,0.055,934,0.377,0.358,0.396,False
2024,test,26,0.001,16,0.615,0.425,0.776,True
2024,unplaced,387,0.009,133,0.344,0.298,0.392,False
2024,,1410,0.031,498,0.353,0.329,0.379,False
Pooled,active,103473,0.793,65283,0.631,0.628,0.634,False
Pooled,exited,12,0.0,8,0.667,0.391,0.862,True
Pooled,no_show,6496,0.05,2274,0.35,0.339,0.362,False
Pooled,test,63,0.0,34,0.54,0.418,0.657,False
Pooled,unplaced,1685,0.013,543,0.322,0.3,0.345,False
Pooled,,18688,0.143,9323,0.499,0.492,0.506,False
