age_group,hours_band,n,prob,lo,hi
16-17,0,48988,0.3583716626557289,0.3395467124673947,0.3784551862070036
16-17,1-25,48988,0.4437123418020795,0.39822570048279465,0.49432128960299554
16-17,26-75,48988,0.6154725494943957,0.5302902237349162,0.6924291668548403
16-17,76-125,48988,0.6734746221018636,0.6280571639975336,0.7147190285252735
16-17,126-149,48988,0.7038778173271646,0.6850371672772059,0.7213083410767229
16-17,150 (cap),48988,0.7392411257710941,0.7230649789300632,0.7538198008355991
18-20,0,47241,0.3049931164945446,0.2896146812159499,0.3205441869154377
18-20,1-25,47241,0.4146037845671213,0.37296371148654034,0.4570655599923301
18-20,26-75,47241,0.5271974261158981,0.4814825586752781,0.5715795044860633
18-20,76-125,47241,0.596749757297252,0.5602410820359093,0.6315106524185015
18-20,126-149,47241,0.6467438450760138,0.6246319563320599,0.6674500069485477
18-20,150 (cap),47241,0.7143172198096427,0.695035483822399,0.7325989633610664
21-23,0,18396,0.2473483210070879,0.22375721787430858,0.2721231977228817
21-23,1-25,18396,0.3757251642255833,0.32787664017222984,0.4246530564098462
21-23,26-75,18396,0.47503671675521947,0.4160915395066454,0.5327722131773903
21-23,76-125,18396,0.5510235085007514,0.5102119060138914,0.5915466635787572
21-23,126-149,18396,0.5778730401298154,0.5427933064108549,0.6114530051555228
21-23,150 (cap),18396,0.6863850473694533,0.6262637041950189,0.7393063466366047
