block,item,label,n_block_answered,n_selected,percent_selected,ci_low,ci_high,block_response_rate
cf,cf_paid_alternative,Another paid activity,5844,3533,60.455167693360714,59.19508213131239,61.701516709531724,100.0
cf,cf_leisure_only,Leisure time only,5844,3405,58.26488706365503,56.99554653942111,59.523368747203634,100.0
cf,cf_unpaid_activity,An unpaid activity,5844,1600,27.378507871321013,26.25040477690877,28.536332264669102,100.0
cf,cf_no_plans,No alternative plans,5844,881,15.075290896646132,14.18086493894188,16.015602762919265,100.0
benefit,benefit_job_readiness,Improved job readiness,5749,4805,83.57975300052183,82.59975087207856,84.51490773420048,98.37440109514031
benefit,benefit_self_efficacy,Improved confidence,5749,4763,82.84919116368064,81.85291338447269,83.80159724902015,98.37440109514031
benefit,benefit_career_clarity,Greater career clarity,5749,2315,40.267872673508435,39.007000123442914,41.54174295336978,98.37440109514031
benefit,benefit_mentor_relationship,Built a mentor relationship,5749,1936,33.67542181248913,32.46501288697796,34.907633006835624,98.37440109514031
benefit,benefit_money_management,Improved money management,5749,1841,32.02296051487215,30.8292401563303,33.240690084752636,98.37440109514031
expect,expect_app_clarity,Application process was clear,5844,4662,79.7741273100616,78.72484280996753,80.78429300520231,100.0
expect,expect_first_choice,Received first-choice placement,5844,4604,78.78165639972622,77.71466219573585,79.81083575892832,100.0
expect,expect_knew_what_to_expect,Knew what to expect,5844,2735,46.800136892539356,45.5233357578469,48.08114217466073,100.0
