fit,term,or,or_lo,or_hi,p
A_hours_x_age,Intercept,2.0076245079286235,1.710892871602532,2.3558203039681676,1.3320258224885147e-17
A_hours_x_age,C(Year)[T.2023],1.1991472169584712,1.1061169609815928,1.3000018069184784,1.0443524429234188e-05
A_hours_x_age,C(Year)[T.2024],1.3058952747968158,1.2029669118519173,1.4176304035755367,1.871036526202757e-10
A_hours_x_age,C(borough)[T.Brooklyn],1.2363183584749853,1.014593354871554,1.5064982203592157,0.035410660930856326
A_hours_x_age,C(borough)[T.Manhattan],1.0597518981879248,0.8938819159390016,1.2564009470234636,0.5039776267442391
A_hours_x_age,C(borough)[T.Queens],1.0116224434822483,0.8474133179153749,1.2076515043149136,0.8982536332452483
A_hours_x_age,C(borough)[T.Staten Island],1.0292506155452696,0.8415739051602824,1.258780510071253,0.7789432345132987
A_hours_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.0]",0.23344824448735707,0.21843484757656112,0.24949353758734552,0.0
A_hours_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.1-25]",0.33391591310344887,0.2801798817475267,0.3979580415562592,1.625920168963002e-34
A_hours_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.26-75]",0.6722401186248106,0.4982784753022526,0.9069361802445419,0.009341207207528008
A_hours_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.76-125]",0.8672138987164884,0.7614546119348565,0.9876622116925223,0.03178896807254823
A_hours_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.150 (cap)]",1.193477221945667,1.1368804551633926,1.2528915180430593,9.648126573462273e-13
A_hours_x_age,C(age_group)[T.18-20],0.7741850828432795,0.7158737033923649,0.8372462064981727,1.493164971855408e-10
A_hours_x_age,C(age_group)[T.21-23],0.5775462673759808,0.527637232242115,0.6321761820001144,1.1166686611125105e-32
A_hours_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.0]:C(age_group)[T.18-20]",1.0200619009316434,0.9414490310498108,1.1052391020807426,0.6273653661762537
A_hours_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.1-25]:C(age_group)[T.18-20]",1.153372080626669,0.9307842055051704,1.4291896537362352,0.19212808122727143
A_hours_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.26-75]:C(age_group)[T.18-20]",0.903915633204947,0.742615192939017,1.1002514892250488,0.3137877287085352
A_hours_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.76-125]:C(age_group)[T.18-20]",0.9311733459143102,0.8443205185725833,1.0269604742132197,0.15345495245382745
A_hours_x_age,"C(hours_band, Treatment(reference=""126-149""))[T.150 (cap)]:C(age_group)[T.18-20]",1.14582263744836,1.043705283306696,1.257931273787864,0.0042612046701207525
