term,or_unrestricted,or_eligible_only,p_eligible_only,pct_change_log_or
Intercept,2.242876087503137,2.242876087503137,1.4835311932841514e-26,0.0
"C(hours_band, Treatment(reference=""126-149""))[T.0]",0.23586122349451466,0.23586122349451466,0.0,0.0
"C(hours_band, Treatment(reference=""126-149""))[T.1-25]",0.3767486906331178,0.3767486906331178,1.0152297750453448e-64,0.0
"C(hours_band, Treatment(reference=""126-149""))[T.26-75]",0.6395761955841331,0.6395761955841331,7.798065523081199e-06,0.0
"C(hours_band, Treatment(reference=""126-149""))[T.76-125]",0.8461641609876078,0.8461641609876078,0.0014721945221516073,0.0
"C(hours_band, Treatment(reference=""126-149""))[T.150 (cap)]",1.3303478410037326,1.3303478410037326,6.277810353793567e-17,0.0
C(Year)[T.2023],1.1985122268410926,1.1985122268410926,1.1332637209115574e-05,0.0
C(Year)[T.2024],1.3064488428191037,1.3064488428191037,3.4734658571838365e-10,0.0
C(borough)[T.Brooklyn],1.2342071202598677,1.2342071202598677,0.039920724578400214,0.0
C(borough)[T.Manhattan],1.0593501868831912,1.0593501868831912,0.5108724653142735,0.0
C(borough)[T.Queens],1.0151288685225188,1.0151288685225188,0.8711931663326404,0.0
C(borough)[T.Staten Island],1.0299950647042222,1.0299950647042222,0.7768868078414826,0.0
"bs(age_on_start, df=3)[0]",0.5149060689383226,0.5149060689383226,2.667841076323447e-05,0.0
"bs(age_on_start, df=3)[1]",0.7705937661199571,0.7705937661199571,0.014512044833794929,0.0
"bs(age_on_start, df=3)[2]",0.497050284364076,0.497050284364076,6.126599203399366e-32,0.0
is_no_show,1.046983347834501,1.046983347834501,0.4286879051046051,0.0
worksite_matched,0.8854649659965804,0.8854649659965804,0.004583561736209081,0.0
