provider,n,n_people,k,mean_hours,zero_hours_share,no_show_share,mean_age,n_years,raw_rate,small,excess_pp,excess_lo_pp,excess_hi_pp,separates,fe_or,fe_or_lo,fe_or_hi,fe_p,rank_raw,rank_adj,rank_shift
El Barrio's Operation Fightbac,2034,1475,1383,106.1295476892822,0.20599803343166176,0.168141592920354,18.545231071779746,3,0.6799410029498525,False,10.4447502021855,8.394294790408933,12.4542294252005,True,1.1169659261927576,0.9850074062962846,1.266602537504545,0.08462395207034833,3.0,1.0,2.0
Woodycrest Center For Human De,1005,823,705,117.92587064676617,0.12338308457711443,0.09353233830845771,18.691542288557216,2,0.7014925373134329,False,8.709753162827138,5.9367119836389755,11.443524925490005,True,0.9810672552301815,0.8316436896481082,1.1573381380337773,0.8206379277251477,2.0,2.0,0.0
Simpson Street Development Ass,1948,1630,1227,96.2598819301848,0.19507186858316222,0.0,18.959445585215605,2,0.6298767967145791,False,8.151982992217341,5.958120946054145,10.229480403044434,True,0.9284797236120773,0.8152949787431102,1.057377537744396,0.2632249996289092,7.0,3.0,4.0
Hellenic American Neighborhood,4835,3527,3089,112.59477766287488,0.16794208893485005,0.0,18.695139607032058,3,0.6388831437435367,False,5.268115228696195,3.9509210759589823,6.608782087512589,True,0.8833262112245728,0.80952400877186,0.9638567688932532,0.005320982382279057,6.0,4.0,2.0
Kips Bay,1210,1060,790,115.89690082644628,0.13636363636363635,0.0,18.14876033057851,3,0.6528925619834711,False,4.6250755225435745,2.165570814951555,7.1634724767050075,True,0.7923842229569483,0.6827367250160804,0.9196411058395878,0.0021958915011648945,5.0,5.0,0.0
Infinity Educational Programs,4028,3074,2703,111.28078450844092,0.14548162859980138,0.0,18.047169811320753,3,0.6710526315789473,False,4.100974875650647,2.6915747494074025,5.475452755605373,True,0.8497177727985991,0.7819712445758878,0.9233335604321468,0.00012224798755041045,4.0,6.0,-2.0
Council of Jewish Organization,19054,13203,13732,122.4524509289388,0.10580455547391623,0.0651306812217907,18.11446415450824,3,0.7206885693292747,False,3.421012665663665,2.790655755068453,4.056545354341622,True,1.0,,,,1.0,7.0,-6.0
Research Foundation - Medgar E,1514,1333,948,96.56869220607662,0.23381770145310435,0.11756935270805813,18.457727873183618,2,0.6261558784676354,False,2.9774384218265815,0.5908949503503584,5.285548506920905,True,0.7633370914414135,0.6758511130935647,0.8621477480493106,1.3722791882511834e-05,10.0,8.0,2.0
Catholic Charities Neighborhoo,2912,2279,1780,105.34555288461539,0.19093406593406592,0.11778846153846154,18.481456043956044,3,0.6112637362637363,False,2.8564791752530505,1.0175249395621497,4.589182217195474,True,0.7562348846926662,0.6862994763830707,0.8332968631130333,1.6675994252252173e-08,12.0,9.0,3.0
Brooklyn Neighborhood Improvem,1841,1439,1154,104.17775665399239,0.22813688212927757,0.08799565453557849,18.30526887561108,3,0.6268332428028246,False,2.7181491064599084,0.7172205007604876,4.774156721366529,True,0.7668748333037125,0.6857459843078906,0.8576018283915307,3.277770450181134e-06,9.0,10.0,-1.0
YM-YWHA,1667,1437,954,94.32093581283743,0.26814637072585484,0.247750449910018,18.625074985003,2,0.5722855428914218,False,1.8574214718709898,-0.4359741732210825,4.295691591184438,False,0.7388072321298228,0.6517899420375473,0.8374417753992992,2.194714501438715e-06,21.0,11.0,10.0
"Sesame Flyers International, I",855,736,538,99.30643274853801,0.1871345029239766,0.0,18.257309941520468,2,0.6292397660818714,False,1.836003035099753,-1.1867968776337032,4.8058204653638725,False,0.7143181362595348,0.6133980932394538,0.8318421681009489,1.4971675072537038e-05,8.0,12.0,-4.0
Community Counseling & Mediati,2368,1904,1440,102.87151604729729,0.1727195945945946,0.02660472972972973,18.4379222972973,3,0.6081081081081081,False,1.6722838180901922,-0.22791714600952484,3.6418617004152822,False,0.7127195337001393,0.6432542283537324,0.789686427740676,9.61828578234623e-11,13.0,13.0,0.0
CCCS,3042,2435,1744,105.92595332018409,0.18770545693622617,0.0,18.483234714003945,3,0.5733070348454964,False,1.1201621186677053,-0.6243709417991237,2.9080158740054993,False,0.6948541224245606,0.6228690325133646,0.7751585425625515,6.833178405539703e-11,20.0,14.0,6.0
Commonpoint,4854,3895,2752,104.65265760197775,0.20992995467655542,0.0,18.4344870210136,3,0.5669550885867326,False,-0.20458679239406438,-1.64072742794738,1.1775932664866258,False,0.6437139751257029,0.5893593104662439,0.7030815911677488,1.284460298873578e-22,23.0,15.0,8.0
United Activities Unlimited,2387,2139,1397,102.73512777545035,0.20695433598659405,0.0,18.04021784666946,2,0.5852534562211982,False,-0.6957462293973063,-2.5971582335723054,1.1848995700063563,False,0.6377701868132508,0.5570902254267738,0.7301345322944889,7.131230256372316e-11,17.0,16.0,1.0
Research Foundation - LaGuardi,2827,2502,1581,100.09656880084896,0.22957198443579765,0.08065086664308455,18.3452423063318,2,0.5592500884329679,False,-0.8136238788560703,-2.6704974546610067,0.8709570961297983,False,0.615889784246804,0.5563943548111456,0.681747079314501,8.686482820126947e-21,28.0,17.0,11.0
Edith and Carl Marks Jewish Co,2122,1772,1254,102.64549952874647,0.2290292177191329,0.05984919886899152,18.464655984919887,3,0.590951932139491,False,-1.039612946309395,-3.027305633815666,0.9934030790346657,False,0.6964068705718601,0.6280171099609854,0.772244134255865,6.857560505016554e-12,15.0,18.0,-3.0
"Inwood Community Services, Inc",1879,1581,1053,107.72019691325173,0.2006386375731772,0.07876530069185737,18.37679616817456,3,0.5604044704630122,False,-1.0471824151974856,-3.1192272458953427,1.0637651596216466,False,0.6455453262109248,0.571849068519765,0.7287390871711557,1.4800059601376907e-12,27.0,19.0,8.0
"Henry Street Settlement, Inc.",2740,2337,1522,98.01934306569343,0.23941605839416058,0.0,18.58978102189781,3,0.5554744525547445,False,-1.0724447994123902,-2.8377478112190504,0.7424235098656922,False,0.6424131926433614,0.5822703650128015,0.7087681855029034,1.1085265550978598e-18,31.0,20.0,11.0
NY Center for Interper- NYCID,709,660,438,108.53490832157969,0.15091678420310295,0.07193229901269393,18.17771509167842,2,0.6177715091678421,False,-1.2987075732407658,-4.844853911270124,1.996078334811308,False,0.6220071841383897,0.5265270432274648,0.734801644276849,2.3480296755875517e-08,11.0,21.0,-10.0
CAMBA,1265,1141,735,99.90276679841897,0.21976284584980238,0.0,18.050592885375494,3,0.5810276679841897,False,-1.6519743959623392,-4.3404321377368404,1.0309933283581951,False,0.614986989740681,0.5392842165458324,0.7013166451871515,4.053008302763165e-13,19.0,22.0,-3.0
RiseBoro Community Partnership,1489,1308,876,106.10913364674278,0.18200134318334452,0.08059100067159167,18.134989926124916,2,0.5883143049026192,False,-2.042965480353675,-4.550398172709393,0.3322193563720175,False,0.6156463147228111,0.544869517666751,0.6956167899698734,6.9752129323160036e-15,16.0,23.0,-7.0
Community Association of Progr,2126,1678,1150,109.11465192850423,0.1773283160865475,0.13640639698965193,18.266227657572905,3,0.5409219190968956,False,-2.2534168623888156,-4.225648249295768,-0.21242002126189577,True,0.6017415618530129,0.5351180135704238,0.6766599106715557,2.1757879931371435e-17,35.0,24.0,11.0
Chinese American Planning Coun,6711,5576,4004,118.54865146773953,0.13649232603188793,0.09000149009089554,18.383996423781852,3,0.5966323945760691,False,-2.2672184363621524,-3.439589240316685,-1.1333350410707974,True,0.5839575814234417,0.5397360890222254,0.6318022156340808,7.060224598312869e-41,14.0,25.0,-11.0
"Chinatown Manpower Project, In",2228,1869,1250,105.39373877917414,0.21499102333931777,0.10412926391382406,18.70152603231598,3,0.5610412926391383,False,-2.3281681984430413,-4.2619895365995655,-0.34995257632194354,True,0.5921264426276891,0.5314108031497635,0.6597790673068253,2.226693443999666e-21,25.0,26.0,-1.0
The Children's Aid Society,2025,1857,1118,95.48493827160493,0.16098765432098766,0.06617283950617284,18.33185185185185,2,0.5520987654320988,False,-2.329416362408671,-4.44284288540138,-0.21370664028626432,True,0.5801160923620503,0.5157112102852944,0.6525642140515852,1.2009898437929336e-19,32.0,27.0,5.0
Mosholu Montefiore Community C,4065,3432,2184,98.219987699877,0.22164821648216482,0.0,18.45362853628536,2,0.537269372693727,False,-2.5729165808940295,-4.035827944721347,-1.0696500368964463,True,0.5665323775941702,0.5089483287515031,0.630631670703871,2.750245784958216e-25,38.0,28.0,10.0
Center for Family Life,2372,1850,1385,114.90303541315346,0.15472175379426645,0.03541315345699832,17.98777403035413,3,0.5838954468802698,False,-2.918814193105263,-4.743585362513004,-1.0794556141576177,True,0.6014600900760807,0.545938157504636,0.6626286054226849,7.984085797275616e-25,18.0,29.0,-11.0
Rockaway Development & Revital,1556,1344,872,105.8788560411311,0.15616966580976863,0.0,18.26992287917738,2,0.5604113110539846,False,-3.002482167948332,-5.422157853262752,-0.5880842520101635,True,0.5418821980560025,0.4770852583714914,0.6154797521355381,4.119277424672707e-21,26.0,30.0,-4.0
"BronxWorks, Inc",1191,1067,641,106.8083543240974,0.14441645675902604,0.0,18.463476070528966,3,0.5382031905961377,False,-3.3275825173174094,-6.144736611394619,-0.6639111825441485,True,0.5529525759364778,0.47705407319547194,0.6409264031364913,3.683396538351272e-15,36.0,31.0,5.0
Roads,624,586,351,100.69951923076923,0.14102564102564102,0.15865384615384615,18.44551282051282,2,0.5625,False,-3.5325301240594444,-7.20828255295999,0.5573593460113251,False,0.5632667755521231,0.4692801669229368,0.6760768572880825,7.151185772024226e-10,24.0,32.0,-8.0
Greater Ridgewood Youth Counci,2806,2207,1488,105.12696008553101,0.18246614397719174,0.040270848182466144,17.875267284390592,3,0.5302922309337135,False,-3.559265974337135,-5.437000999889354,-1.8308306725977055,True,0.5745630793555943,0.5202422122619935,0.6345558364501446,7.761641441293251e-28,41.0,33.0,8.0
Children's Arts & Science Work,1149,1039,614,106.83616187989556,0.206266318537859,0.024369016536118365,18.317667536988687,3,0.5343777197563099,False,-3.5910057797959167,-6.427207924171337,-0.9170121453860394,True,0.5539876409331902,0.4771620348011382,0.6431825751489757,8.897448692834693e-15,39.0,34.0,5.0
Bridge Street,2640,2108,1457,100.63257575757575,0.20719696969696969,0.1,18.328030303030303,3,0.5518939393939394,False,-3.874391597410732,-5.665486792655375,-2.1006009436459316,True,0.5580578453429895,0.5067376401984837,0.6145755397741458,2.1327609709485554e-32,33.0,35.0,-2.0
Cypress Hills Local Developmen,1643,1389,883,98.62705416920268,0.19415702982349362,0.041387705416920266,18.36396835057821,3,0.5374315276932441,False,-4.022076409574684,-6.371960386505156,-1.6972066597947604,True,0.5564157414159622,0.49566014471971964,0.6246184620523466,2.863489238123355e-23,37.0,36.0,1.0
"Queens Community House, Inc.",1822,1676,987,102.21899012074643,0.2052689352360044,0.16849615806805707,18.10482985729967,2,0.5417124039517014,False,-4.0695273550542606,-6.361718719150336,-1.7979285636534659,True,0.5311120642876938,0.47199998233759605,0.5976271936175175,7.691229719754597e-26,34.0,37.0,-3.0
Police Athletic League,2265,2008,1210,96.00717439293598,0.2194260485651214,0.1205298013245033,18.175275938189845,2,0.5342163355408388,False,-4.120377825476533,-6.0835140168536705,-2.1561872389617815,True,0.527044240154275,0.4740300021515084,0.5859874476700633,2.39866065642607e-32,40.0,38.0,2.0
St. Nicks Alliance Corporation,1598,1364,911,104.80459949937422,0.17459324155193992,0.14705882352941177,17.929286608260327,2,0.5700876095118899,False,-4.245973474296944,-6.728655157304826,-1.9674238937734185,True,0.5532196211195576,0.4923409830509183,0.6216259863136657,2.4589542788118604e-23,22.0,39.0,-17.0
Madison Square,464,444,259,103.96282327586206,0.15086206896551724,0.021551724137931036,18.34698275862069,2,0.5581896551724138,False,-4.307926780911937,-8.63047633669172,0.07692850949268172,False,0.5357491153121441,0.4355462285775604,0.6590049361583034,3.4778843938473906e-09,29.0,40.0,-11.0
SOBRO,955,858,503,104.33429319371727,0.16963350785340314,0.0,18.601047120418848,2,0.5267015706806283,False,-5.188489477607327,-8.416407447448352,-2.100133429815834,True,0.5071183094260728,0.43169478057657745,0.5957194557962451,1.39977792190932e-16,42.0,41.0,1.0
Aspira of New York,1718,1344,958,121.58018044237485,0.10011641443538999,0.04540162980209546,18.11932479627474,3,0.5576251455180442,False,-5.360880785817046,-7.550051986261563,-3.0315228919223807,True,0.5161475118119913,0.45311588185649476,0.5879472881378349,2.4617912190507403e-23,30.0,42.0,-12.0
Boys & Girls Club Queens,658,624,324,92.97302431610942,0.23404255319148937,0.11550151975683891,17.603343465045594,3,0.49240121580547114,False,-6.025797743803212,-9.685373562628797,-2.494469681967277,True,0.4806732771657308,0.4042729855358186,0.571511843847337,1.0878185874518914e-16,46.0,43.0,3.0
Italian American Civil Rights,3868,3169,2031,97.86097466390899,0.20191313340227507,0.0,18.13314374353671,3,0.5250775594622544,False,-6.391629965253803,-7.926382678819978,-4.829349463662054,True,0.4948699101414711,0.4539140048132984,0.5395211986555849,2.4192489407962635e-57,43.0,44.0,-1.0
Phipps Neighborhoods,637,599,316,99.86734693877551,0.20565149136577707,0.14285714285714285,18.656200941915227,2,0.49607535321821034,False,-7.28292973161528,-10.882447304477191,-3.574986664807848,True,0.4629635633598536,0.38462353437818114,0.5572598706040386,3.8896145563831104e-16,44.0,45.0,-1.0
BCS,919,822,453,99.65723612622416,0.22633297062023938,0.0,18.139281828073994,3,0.4929270946681175,False,-9.01857887312348,-12.211682630212668,-5.985803363682949,True,0.4535493644918508,0.39179234866196105,0.5250409476690573,3.422404440616752e-26,45.0,46.0,-1.0
